"#","Assunto","O que ficou decidido","Por quê","Quem decidiu","Data","Status","Resposta da Vivian","Data da resposta","Observações"
"1","Nome da loja","A loja se chama ""Feito para você! Personalizados"", com as duas linhas dentro, em vez de dois sites separados.","","Vivian","10/08/2026","Aprovado","","",""
"2","As duas linhas","Papelaria personalizada (física, sob encomenda) e Papelaria pedagógica (digital). Cada uma com sua cor: verde-água e amarelo.","","Vivian","10/08/2026","Aprovado","","",""
"3","Pedido mínimo","Mínimo de 10 unidades por produto, não por pedido. Não dá para comprar 1 caneca — o mínimo são 10 canecas.","","Vivian","11/08/2026","Aprovado","","",""
"4","Prazo de produção","5 dias úteis para produzir, contados da confirmação do pagamento. O prazo aparece no produto, antes da compra.","","Vivian","10/08/2026","Aprovado","","",""
"5","Compras separadas","Material digital e personalizado não vão na mesma compra. Quem quiser os dois faz dois pedidos.","A declaração de conteúdo precisa bater com o que está dentro da caixa. Um arquivo digital declarado é um item que não está na embalagem.","Vivian","11/08/2026","Aprovado","","",""
"6","Transportadoras","Correios e Jadlog, as mesmas do Elo7. Aparecem lado a lado com preço e prazo, e quem compra escolhe.","","Vivian","10/08/2026","Aprovado","","",""
"7","Declaração de conteúdo","Continua existindo. Sai junto com a etiqueta, já preenchida com itens, quantidade e valor.","","Maycon","11/08/2026","Esperando resposta","","","PENDENTE MEU: confirmar se a Jadlog aceita declaração ou exige nota fiscal."
"8","Medidas para o frete","Cadastrar peso e tamanho do pacote fechado de 10, não da peça solta.","Como o mínimo é 10, é o que ela realmente despacha. Pesa uma vez e não mexe mais.","Maycon","11/08/2026","Minha proposta","","",""
"9","Marca d'água no digital","O arquivo sai com o nome de quem comprou escrito pequeno em cada página.","Desestimula repasse em grupo sem atrapalhar quem pagou.","Maycon","11/08/2026","Esperando resposta","","","Perguntar: ela topa?"
"10","Formato do material digital","Ainda não definido.","","Maycon","11/08/2026","Esperando resposta","","","Perguntar: é PDF? Um arquivo por compra ou pacote? Preço por arquivo?"
"11","Como o digital chega","Por link no e-mail, com validade de 7 dias. Não vai anexado.","Anexo grande cai em spam e tem limite de tamanho.","Maycon","11/08/2026","Minha proposta","","",""
"12","Aviso por WhatsApp","Na v1, e-mail automático e WhatsApp com um botão que abre a conversa com a mensagem pronta.","O envio automático exigiria um número dedicado que sai do app normal — ela perderia o WhatsApp que usa para atender.","Maycon","11/08/2026","Minha proposta","","",""
"13","Painel na primeira versão","Cadastrar produto, ver pedidos e gerar etiqueta. Chat interno, marketing com IA e gráficos ficam para depois.","É o que cabe no combinado e o que ela usa nos primeiros meses.","Maycon","11/08/2026","Esperando resposta","","","Perguntar: alguma coisa que ficou de fora faz falta desde o começo?"
"14","Endereço na etiqueta","Os envios saem de Vila Valqueire e o endereço aparece como remetente em toda etiqueta.","","Maycon","11/08/2026","Esperando resposta","","","Ela precisa saber que quem compra vê o endereço. Oferecer endereço alternativo."
"15","Visual da loja","As cores saíram das duas logos do Elo7: verde-água e rosa do 'Feito para você', amarelo do 'Projeto Educar', azul virou a cor do texto.","","Maycon","10/08/2026","Esperando resposta","","","Perguntar: está parecendo a marca dela? Mudar agora é mais barato."
"16","Volume de vendas","Ainda não definido.","","Maycon","11/08/2026","Esperando resposta","","","Perguntar: quantas vendas por mês no Elo7? Pode ser chute. Serve para dimensionar custo."
"17","Checkout","Pagamento acontece na própria página, sem redirecionar para o Mercado Pago.","Melhor conversão. Custo: tratamento de recusa de cartão vira trabalho nosso.","Maycon","11/08/2026","Minha proposta","","","Decisão técnica, não precisa passar por ela."
"18","Custo mensal de infraestrutura","Vercel, Supabase e Resend nos planos gratuitos. Só o domínio custa, cerca de R$40 por ano.","","Maycon","11/08/2026","Minha proposta","","","Cabe nos R$100/mês com folga."
